state_code,state,year,territory_type,income_mean,income_median,poverty_absolute,gini
JHR,Johor,1970,state,237.0,,45.7,
JHR,Johor,1974,state,382.0,269.0,,
JHR,Johor,1976,state,513.0,370.0,29.0,
JHR,Johor,1979,state,731.0,518.0,18.2,
JHR,Johor,1984,state,1065.0,793.0,12.2,
JHR,Johor,1987,state,1060.0,816.0,11.1,
JHR,Johor,1989,state,1150.0,880.0,10.1,
JHR,Johor,1992,state,1713.0,1225.0,5.6,
JHR,Johor,1995,state,2138.0,1610.0,3.1,
JHR,Johor,1997,state,2772.0,2056.0,1.6,
JHR,Johor,1999,state,2646.0,2012.0,2.5,
JHR,Johor,2002,state,2963.0,2212.0,1.8,
JHR,Johor,2004,state,3076.0,2325.0,2.0,
JHR,Johor,2007,state,3457.0,2726.0,1.5,
JHR,Johor,2009,state,3835.0,2958.0,1.3,
JHR,Johor,2012,state,4658.0,3650.0,0.9,
JHR,Johor,2014,state,6207.0,5197.0,0.0,
JHR,Johor,2016,state,6928.0,5652.0,0.0,
JHR,Johor,2019,state,7201.307692307692,5882.884615384615,4.6230769230769235,0.10762057515852219
JHR,Johor,2020,state,7264.0,5690.0,5.9,
JHR,Johor,2022,state,7529.7307692307695,6215.346153846154,5.630769230769231,0.1089179422478701
JHR,Johor,2024,state,8398.76923076923,7112.923076923077,3.0923076923076924,0.12073866838759129
KDH,Kedah,1970,state,189.0,,63.2,
KDH,Kedah,1974,state,256.0,151.0,,
KDH,Kedah,1976,state,306.0,193.0,61.0,
KDH,Kedah,1979,state,382.0,259.0,53.8,
KDH,Kedah,1984,state,690.0,472.0,36.6,
KDH,Kedah,1987,state,718.0,531.0,31.3,
KDH,Kedah,1989,state,749.0,552.0,30.0,
KDH,Kedah,1992,state,1048.0,758.0,21.2,
KDH,Kedah,1995,state,1295.0,990.0,12.2,
KDH,Kedah,1997,state,1590.0,1171.0,11.5,
KDH,Kedah,1999,state,1612.0,1225.0,13.5,
KDH,Kedah,2002,state,1966.0,1451.0,10.7,
KDH,Kedah,2004,state,2126.0,1607.0,7.0,
KDH,Kedah,2007,state,2408.0,1756.0,3.1,
KDH,Kedah,2009,state,2667.0,1966.0,5.3,
KDH,Kedah,2012,state,3425.0,2633.0,1.7,
KDH,Kedah,2014,state,4478.0,3451.0,0.3,
KDH,Kedah,2016,state,4971.0,3811.0,0.2,
KDH,Kedah,2019,state,5407.8,4309.4,8.54,0.0750981093153511
KDH,Kedah,2020,state,5005.0,3829.0,12.7,
KDH,Kedah,2022,state,5442.6,4349.266666666666,8.346666666666668,0.07507359636121635
KDH,Kedah,2024,state,5692.666666666667,4757.733333333334,8.133333333333333,0.05927313893117847
KTN,Kelantan,1970,state,151.0,,76.1,
KTN,Kelantan,1974,state,231.0,108.0,,
KTN,Kelantan,1976,state,269.0,163.0,67.1,
KTN,Kelantan,1979,state,341.0,256.0,55.0,
KTN,Kelantan,1984,state,625.0,436.0,39.2,
KTN,Kelantan,1987,state,667.0,482.0,31.6,
KTN,Kelantan,1989,state,712.0,528.0,29.9,
KTN,Kelantan,1992,state,907.0,632.0,29.5,
KTN,Kelantan,1995,state,1091.0,789.0,22.9,
KTN,Kelantan,1997,state,1249.0,872.0,19.5,
KTN,Kelantan,1999,state,1314.0,946.0,18.7,
KTN,Kelantan,2002,state,1674.0,1154.0,12.4,
KTN,Kelantan,2004,state,1829.0,1258.0,10.6,
KTN,Kelantan,2007,state,2143.0,1510.0,7.2,
KTN,Kelantan,2009,state,2536.0,1713.0,4.8,
