state_code,state,year,territory_type,population,hospital_count,facility_count,beds_nonicu,beds_icu,beds_total,beds_per_1000,facilities_per_100k
JHR,Johor,2019,state,3761200.0,12,403,3276.0,95.0,3371.0,0.8962565138785494,10.714665532276932
JHR,Johor,2022,state,4028300.0,12,403,3276.0,95.0,3371.0,0.8368294317702256,10.004220142491869
JHR,Johor,2024,state,4184399.9999999995,12,403,3276.0,95.0,3371.0,0.8056113182296148,9.631010419653954
KDH,Kedah,2019,state,2173700.0,9,311,2685.0,81.0,2766.0,1.2724847035009432,14.307402125408291
KDH,Kedah,2022,state,2163100.0,9,311,2685.0,81.0,2766.0,1.278720355045999,14.377513753409458
KDH,Kedah,2024,state,2217100.0,9,311,2685.0,81.0,2766.0,1.247575661900681,14.027333002570927
KTN,Kelantan,2019,state,1883800.0,10,271,2353.0,151.0,2504.0,1.3292281558551864,14.385815904023781
KTN,Kelantan,2022,state,1830600.0,10,271,2353.0,151.0,2504.0,1.3678575330492735,14.80388943515787
KTN,Kelantan,2024,state,1887900.0,10,271,2353.0,151.0,2504.0,1.3263414375761426,14.35457386514116
MLK,Melaka,2019,state,928400.0,4,112,1269.0,58.0,1327.0,1.429340801378716,12.063765618267986
MLK,Melaka,2022,state,1008600.0,4,112,1269.0,58.0,1327.0,1.315685108070593,11.104501288915328
MLK,Melaka,2024,state,1046700.0,4,112,1269.0,58.0,1327.0,1.2677940192987485,10.700296168911818
NSN,Negeri Sembilan,2019,state,1126200.0,8,170,1584.0,57.0,1641.0,1.4571124134256792,15.09500976735926
NSN,Negeri Sembilan,2022,state,1207900.0,8,170,1584.0,57.0,1641.0,1.3585561718685322,14.074012749399785
NSN,Negeri Sembilan,2024,state,1239500.0,8,170,1584.0,57.0,1641.0,1.3239209358612343,13.715207745058493
PHG,Pahang,2019,state,1671400.0,13,353,1342.0,41.0,1383.0,0.8274500418810578,21.120019145626422
PHG,Pahang,2022,state,1614300.0,13,353,1342.0,41.0,1383.0,0.8567180821408661,21.86706312333519
PHG,Pahang,2024,state,1667700.0,13,353,1342.0,41.0,1383.0,0.829285842777478,21.166876536547342
PRK,Perak,2019,state,2508800.0,16,366,3393.0,100.0,3493.0,1.392299107142857,14.588647959183673
PRK,Perak,2022,state,2514400.0,16,366,3393.0,100.0,3493.0,1.3891982182628062,14.556156538339167
PRK,Perak,2024,state,2569400.0,16,366,3393.0,100.0,3493.0,1.3594613528450221,14.244570716898888
PLS,Perlis,2019,state,254000.0,1,41,491.0,21.0,512.0,2.015748031496063,16.141732283464567
PLS,Perlis,2022,state,289800.0,1,41,491.0,21.0,512.0,1.766735679779158,14.147688060731538
PLS,Perlis,2024,state,296800.0,1,41,491.0,21.0,512.0,1.7250673854447438,13.814016172506738
PNG,Pulau Pinang,2019,state,1768800.0,6,111,1477.0,33.0,1510.0,0.8536861148801448,6.275440976933515
PNG,Pulau Pinang,2022,state,1740900.0,6,111,1477.0,33.0,1510.0,0.8673674536159457,6.376012407375496
PNG,Pulau Pinang,2024,state,1800500.0,6,111,1477.0,33.0,1510.0,0.8386559289086365,6.164954179394613
SBH,Sabah,2019,state,3904400.0,25,355,2354.0,96.0,2450.0,0.6274971826657104,9.092306116176623
SBH,Sabah,2022,state,3414900.0,25,355,2354.0,96.0,2450.0,0.717444141848956,10.395619198219567
SBH,Sabah,2024,state,3742000.0,25,355,2354.0,96.0,2450.0,0.6547300908605024,9.48690539818279
SWK,Sarawak,2019,state,2806000.0,23,294,3664.0,111.0,3775.0,1.3453314326443335,10.477548111190307
SWK,Sarawak,2022,state,2473500.0,23,294,3664.0,111.0,3775.0,1.526177481301799,11.885991510006065
SWK,Sarawak,2024,state,2517500.0,23,294,3664.0,111.0,3775.0,1.4995034756703078,11.678252234359483
SGR,Selangor,2019,state,6506100.0,18,248,3276.0,107.0,3383.0,0.5199735632713914,3.8118073807657424
SGR,Selangor,2022,state,7050300.0,18,248,3276.0,107.0,3383.0,0.4798377374012453,3.5175808121640215
SGR,Selangor,2024,state,7362700.0,18,248,3276.0,107.0,3383.0,0.45947818055876244,3.3683295530172357
TRG,Terengganu,2019,state,1244500.0,6,196,1537.0,35.0,1572.0,1.263157894736842,15.749296906388107
TRG,Terengganu,2022,state,1186600.0,6,196,1537.0,35.0,1572.0,1.3247935277262768,16.517781897859432
TRG,Terengganu,2024,state,1231500.0,6,196,1537.0,35.0,1572.0,1.2764920828258222,15.915550142103127
KUL,W.P. Kuala Lumpur,2019,capital,1782500.0,7,53,2378.0,38.0,2416.0,1.355399719495091,2.973352033660589
KUL,W.P. Kuala Lumpur,2022,capital,1961200.0,7,53,2378.0,38.0,2416.0,1.2318988374464612,2.702427085457883
KUL,W.P. Kuala Lumpur,2024,capital,2067500.0,7,53,2378.0,38.0,2416.0,1.1685610640870616,2.563482466747279
LBN,W.P. Labuan,2019,island_ft,99300.0,1,14,115.0,7.0,122.0,1.2286002014098691,14.098690835850956
LBN,W.P. Labuan,2022,island_ft,96900.0,1,14,115.0,7.0,122.0,1.2590299277605779,14.447884416924666
LBN,W.P. Labuan,2024,island_ft,100800.0,1,14,115.0,7.0,122.0,1.2103174603174605,13.88888888888889
PJY,W.P. Putrajaya,2019,admin,103700.0,2,6,767.0,23.0,790.0,7.618129218900675,5.785920925747349
PJY,W.P. Putrajaya,2022,admin,117000.0,2,6,767.0,23.0,790.0,6.752136752136752,5.128205128205129
PJY,W.P. Putrajaya,2024,admin,120300.0,2,6,767.0,23.0,790.0,6.5669160432252704,4.987531172069825
