year,life_expectancy,infant_mortality,health_exp_gdp,hospital_beds
2004,74.027,6.6,2.86016941,1.89
2005,74.37,6.5,2.78692698,1.88
2006,74.697,6.5,3.10897732,1.9
2007,74.961,6.5,3.07041144,1.91
2008,75.151,6.5,3.00692558,1.93
2009,75.269,6.5,3.2610569,1.92
2010,75.376,6.5,3.16474271,1.91
2011,75.488,6.5,3.31451917,1.9
2012,75.552,6.5,3.45786357,1.9
2013,75.464,6.5,3.51276922,1.91
2014,75.345,6.6,3.71036959,1.85
2015,75.288,6.6,3.82201481,1.86
2016,75.371,6.7,3.70085335,1.88
2017,75.542,6.7,3.71472311,1.89
2018,75.734,6.7,3.75944281,1.9
2019,75.9,6.7,3.83991051,1.9
2020,76.057,6.7,4.08254337,1.93
2021,73.917,6.7,4.37438345,1.97
2022,75.444,6.7,3.90037823,1.94
2023,76.657,6.8,3.95760036,1.96
